# English loanwords written in Urdu script that need to map to proper English rather than phonetic Roman Urdu.
# Urdu	English
ایکٹرز	actors
ہیروئین	heroine
وائس اوور	voice over
سینچری	century
منٹ	minute
ڈیپارٹمنٹ	department
فلم	film
انٹرویو	interview
میک اپ	makeup
رش	rush
ریلیشن شپ	relationship
پی ایچ ڈی	PhD
کیفے	cafe
ایکسٹرا	extra
ایکسیس	access
مٹیریل	material
اویلیبل	available
سٹڈیز	studies
نالج	knowledge
ایونٹ	event
فیورٹ	favorite
ڈیسائیڈ	decide
اسپیشلی	especially
برڈنڈ	burdened
ریزسٹ	resist
امپیکٹ	impact
ہاٹ	hot
ایڈورٹائزمنٹ	advertisement
سین	scene
کپلز	couples
پروموشن	promotion
نیچرلی	naturally
مارکیٹ	market
یوز	use
ٹرمپ	Trump

سکن	skin
مٹن	mutton
کیوٹ	cute
ریسیپی	recipe
سبسکرائب	subscribe
سپون	spoon
لائک	like
ایپیسوڈ	episode
امپورٹنٹ	important
ڈفرنٹ	different
ٹرینڈ	trend
بائیک	bike
شیڈ	shade
ٹاپک	topic
ایکٹنگ	acting
