# Urdu word -> Roman spelling, from the aligned region of
# Roman-Urdu-Parl. Built by scripts/build_translit_dict.py (ADR-014).
# Do not rebuild from the whole corpus: 90% of it is misaligned.
urdu	roman
!	!
"	"
%	%
'	'
(	(
)	)
+	+
,	,
-	-
.	.
/	/
0	0
02	02
03	03
07	07
1	1
1,197	1,197
10	10
100	100
1000	1000
103	103
11	11
110	110
111	111
112	112
117	117
12	12
121	121
1212	1212
125	125
13	13
135	135
14	14
140	140
15	15
150	150
16	16
162	162
17	17
18	18
181	181
19	19
197	197
1971	1971
1999	1999
2	2
20	20
2000	2000
2005	2005
2006	2006
2007	2007
2008	2008
2009	2009
2010	2010
2011	2011
2012	2012
2013	2013
2014	2014
21	21
22	22
2221	2221
223	223
228	228
23	23
24	24
25	25
26	26
27	27
271	271
28	28
29	29
3	3
30	30
31	31
32	32
33	33
35	35
36	36
37	37
38	38
4	4
40	40
41	41
42	42
43	43
44	44
45	45
450	450
46	46
47	47
48	48
49	49
5	5
50	50
51	51
53	53
54	54
541	541
55	55
56	56
560	560
58	58
59	59
6	6
60	60
61	61
64	64
67	67
681	681
7	7
7,317	7,317
70	70
721	721
79	79
8	8
80	80
81	81
83	83
84	84
9	9
90	90
92	92
98	98
:	:
;	;
?	?
@	@
[	[
]	]
^	^
_	_
`	`
|	|
á	?
ء	hamza
ءاسلام	hamza
آ	aa
آؤ	aao
آؤن	aaon
آؤٹ	out
آؤں	aon
آئ	aay
آئبیریا	iberia
آئر	aair
آئرس	aires
آئرستان	mumlikat
آئرش	irish
آئرلینڈ	ireland
آئرن	iron
آئرین	airain
آئزن	aayzn
آئزک	aayzk
آئس	ice
آئسو	ausuu
آئل	oil
آئلینڈ	aaylind
آئمہ	aima
آئن	ion
آئند	aaind
آئندہ	aindah
آئنی	aini
آئو	aaoo
آئي	aayi
آئين	aeen
آئيڈيل	ideal
آئيں	ayen
آئيے	aayiyae
آئڈل	idle
آئی	aayi
آئیا	aiya
آئیرلینڈ	aayirlind
آئیز	eyes
آئین	aeen
آئینوں	aa_iinon
آئینگے	aaenge
آئینہ	aaina
آئینی	aaeni
آئینے	aaiine
آئیوری	ivory
آئیوو	aayivo
آئیووا	aayyowa
آئیڈيا	idea
آئیڈیا	idea
آئیڈیالوجی	aayidyaloji
آئیڈیل	ideal
آئیڈیلز	ideals
آئیکون	aayikon
آئیگا	aayega
آئیگی	pahari
آئیں	ayen
آئیے	aayiyae
آئے	aeye
آئےجب	waqt
آئےـ	aeye
آب	aabb
آبا	aaba
آباء	aaba
آباؤ	abao
آبائی	aabadi
آباد	abad
آبادي	abadi
آباديوں	aabadyon
آبادکار	aabadkar
آبادکاروں	aabadkaron
آبادکاری	abadkari
آبادی	abadi
آبادیات	abadiyat
آبادیاتی	aabadyati
آبادیاں	abadiyaan
آبادیوں	aabadiyon
آبار	aabar
آبان	aban
آباو	abao
آبجیکٹ	aabjikt
آبداری	aabdari
آبدوز	aabdoz
آبدوزوں	aabdozon
آبدوزیں	aabdozin
آبدیدہ	aabdeedah
آبرو	aabaroo
آبروریزی	aabrorizi
آبزرور	aabzror
آبزرویٹری	aabzroytri
آبشار	aabshaar
آبشاروں	absharoon
