# Canonical Roman Urdu spelling — authoritative at runtime.
#
# Columns:  urdu <TAB> canonical <TAB> comma,separated,rejected,variants
# Use "-" for an empty variants cell. Lines starting with # are ignored.
#
# STATUS: seed, NOT frozen. Rows marked ⚠️ in SPELLING-SPEC.md §8 are contested
# and must be resolved against Roman-Urdu-Parl frequency data before Phase 2
# (SPELLING-SPEC §2, §12). Until `scripts/build_lexicon.py` has run, every
# spelling here is a hypothesis.
#
# Variants listed in SPELLING-SPEC §8 that are deliberately NOT reproduced here,
# because they are common English words and mapping them would respell English —
# which outranks §8 (ADR-001, ADR-006, ADR-009):
#
#   تھے  the, they      ہے  he       میں  me
#   سے   say            اور  or       نو  no
#
# §8 lists these as *observed* variants: a fact about how people type, not an
# instruction to rewrite them. `main` is the exception that proves the rule — it
# stays, because ambiguous.tsv resolves it by context instead of rewriting it.

# --- SPELLING-SPEC §8 seed table -------------------------------------------
urdu	canonical	variants
ہے	hai	hae,hei
ہیں	hain	hein,hen
تھا	tha	thaa
تھی	thi	thee
تھے	thay	-
نہیں	nahi	nahin,nai,nhi
میں	mein	mai,main
کیا	kya	keya,kia
کا	ka	-
کی	ki	kee
کے	ke	kay
کو	ko	-
سے	se	-
پر	par	per
تک	tak	-
اور	aur	aor
یہ	yeh	ye,yh
وہ	woh	wh,wo
کہ	ke	k
بہت	bohat	bahut,bohot,buhat
اچھا	acha	achcha,achha
کرنا	karna	krna
ہونا	hona	-
جانا	jana	jaana
آنا	aana	ana
دینا	dena	daina
لینا	lena	laina
ابھی	abhi	abhee
کبھی	kabhi	kabhee
زیادہ	ziyada	zyada,zyadah
تھوڑا	thora	thoda,thodha
صرف	sirf	serf
ضرور	zaroor	zarur,zroor
مطلب	matlab	matlub
بالکل	bilkul	bilkool,bilqul
شکریہ	shukriya	shukria
اللہ	Allah	-
پاکستان	Pakistan	-

# --- Verbs and auxiliaries -------------------------------------------------
کر	kar	kr
کرو	karo	kro
کرتا	karta	krta
کرتی	karti	krti
کرتے	karte	krte
ہوں	hoon	hoo,hu,hun
ہو	ho	-
ہوتا	hota	-
ہوتی	hoti	-
ہوتے	hote	-
رہا	raha	rha
رہی	rahi	rhi
رہے	rahe	rhe
گیا	gaya	gya
گئی	gayi	gai,gyi
گئے	gaye	gye
دیا	diya	dya
لیا	liya	lya
آ	aa	-
لو	lo	-
دو	do	-
دیکھ	dekh	dekhh
سن	sun	-
بول	bol	-
چل	chal	-
مل	mil	-
لگ	lag	-
سمجھ	samajh	samjh
سوچ	soch	-
جانتا	jaanta	janta
پتہ	pata	patah,pta
چاہیے	chahiye	chahiay,chahye
سکتا	sakta	-
سکتی	sakti	-
سکتے	sakte	-

# --- Pronouns, particles, connectives --------------------------------------
اسی	isi	-
ہم	hum	hm
تم	tum	-
آپ	aap	ap
مجھے	mujhe	mujhay,mujy
تمہیں	tumhen	tumhein
انہیں	unhein	unhen
ہمیں	hamein	humein,humen
میرا	mera	-
تیرا	tera	-
اس کا	uska	-
میری	meri	-
ہمارا	hamara	humara
تمہارا	tumhara	tumhaara
ان کا	unka	-
جو	jo	-
کس	kis	-
کون	kon	kaun
کیوں	kyun	kion,kyu
کہاں	kahan	kahaan
کیسے	kaisay	kaise,kese
کب	kab	-
اب	ab	-
تو	to	tou
بھی	bhi	b
ہی	hi	-
نا	na	-
مت	mat	-
ہاں	haan	han
جی	ji	-
اگر	agar	-
لیکن	lekin	-
مگر	magar	-
یا	ya	-
سب	sab	-
کچھ	kuch	kuchh
کوئی	koi	-
یہاں	yahan	yahaan
وہاں	wahan	wahaan
پھر	phir	fir
بس	bas	-
یعنی	yani	yaani,yeni

# --- Common nouns and adjectives -------------------------------------------
آج	aaj	aj
کل	kal	-
وقت	waqt	wakt
دن	din	-
رات	raat	-
صبح	subah	subha
شام	shaam	sham
سال	saal	sal
مہینہ	maheena	mahina
گھر	ghar	-
کام	kaam	-
بات	baat	-
لوگ	log	-
پانی	pani	paani
کھانا	khana	khaana
چائے	chaye	chai
پیسہ	paisa	paise
روپے	rupay	rupaye,rupye
کتاب	kitaab	kitab
دوست	dost	-
بھائی	bhai	bhaai
بہن	behan	behen,behn
والد	walid	-
زندگی	zindagi	zindgi
قسمت	qismat	kismat
غلط	ghalat	galat
ٹھیک	theek	teek,thik
صحیح	sahih	sahi
سچ	sach	-
جھوٹ	jhoot	jhut
خوش	khush	khsuh
بڑا	bara	bada,barra
بڑی	barri	bari,barree
بڑے	baray	barray
بارے	baare	-
چھوٹا	chhota	chhoota,chota
نیا	naya	-
پرانا	purana	puraana
ٹماٹر	tamatar	tamaatar,tamater
دھوپ	dhoop	dhup
جگہ	jagah	jaga
طرح	tarah	tara
وجہ	wajah	waja

# --- Numbers 0-10 (SPELLING-SPEC §6: written as words) ---------------------
صفر	sifar	-
ایک	aik	ek,ik
دو	do	-
تین	teen	-
چار	chaar	char
پانچ	paanch	paanj,panch
چھ	chay	che,chhay
سات	saat	sat
آٹھ	aath	ath
نو	nau	-
دس	das	dus
بجے	bajay	baje

# --- Proper nouns (SPELLING-SPEC §6: always capitalised) -------------------
کراچی	Karachi	-
لاہور	Lahore	-
اسلام آباد	Islamabad	-
پشاور	Peshawar	-
کوئٹہ	Quetta	-
پنجاب	Punjab	-
سندھ	Sindh	-
اردو	Urdu	-
احمد	Ahmed	-
محمد	Muhammad	-
رمضان	Ramzan	ramadan
عید	Eid	-
